name	MParameter	unit	index	min.	max.	place
fluid volume source						QV		m3			1	-1.00E+00	1.00E+00	element
nodal fluid volume source				NQV		m3			1	-1.00E+00	1.00E+00	node
fluid pressure							PF		Pa			1	-1.00E+09	1.00E+09	node
permeability							K		m2			1	1.00E-25	1.00E+00	element
porosity								PHI		X			1	1.00E-05	1.00E+00	element
velocity								VT		m s-1		2	-1.00E+02	1.00E+02	element
nodal velocity							NVT		m s-1		2	-1.00E+02	1.00E+02	node
brooks corey parameter					BC		NA			1	0.0			3.0			element
entry pressure							PD		Pa			1	0.00E+00	5.00E+07	element
residual saturation water				SWR		X			1	0.00E+00	5.00E-01	element
residual saturation oil					SNR		X			1	0.00E+00	5.00E-01	element
density oil								RHOO	kg m-3		1	1.00E+02	1.80E+03	node
density water							RHOW	kg m-3		1	5.00E+02	1.00E+03	node
viscosity oil							MUO		Pa s		1	1.00E-05	1.00E-01	node
viscosity water							MUW		Pa s		1	1.00E-04	1.60E-03	node
concentration							C		X			1	-1.00E-01	1.1E+00		node
saturation oil							SO		X			1	-1.00E-01	1.1E+00		node
saturation water						SW		X			1	-1.00E-01	1.1E+00		node
total mobility							LT		m2			1	1.00E-20	1.00		element
conductivity							L		m2			1	1.00E-20	1.00		element
total system compressibility			CT		Pa-1		1	1.00E-15	1.00E-05	element
fracture aperture						FRAP	m			1	0.0			0.1			element
volume flux								F		m3 s-1		1	0.00E+00	1.00E+02	element
nodal volume flux						NF		m3 s-1		1	0.00E+00	1.00E+02	node
previous volume flux					PF		m3 s-1		1	0.00E+00	1.00E+02	element
wetted element							WE		X			1	0.00E+00	1.00E+0		element
capillary diffusivity					DC		m2 s-1	1	1.00E-50		1.00E+00	element