name	MParameter	unit	index	min.	max.	place
porosity						PHI	X	1	1.00E-05	1.00E+00	element
viscosity oil						MUO	Pa s	1	1.00E-05	1.00E-01	node
viscosity water						MUW	Pa s	1	1.00E-04	1.60E-03	node
density oil						RHOO	kg m-3	1	1.00E+02	1.80E+03	node
density water						RHOW	kg m-3	1	5.00E+02	1.00E+03	node
total mobility						LT	m2	1	1.00E-20	1.00		element
permeability						K	m2	1	1.00E-25	1.00E+00	element
relative permeability oil				KRO	X	1	0.0		1.0		element
relative permeability water				KRW	X	1	0.0		1.0		element
brooks corey parameter					BC	NA	1	0.0		3.0		element
entry pressure						PD	Pa	1	0.00E+00	5.00E+07	element
fracture aperture					FA	m	1	0.0		1.0		element
van genuchten parameter					VG	NA	1	1.0		6.0		element
van genuchten alpha					VA	NA	1	0.0		5.0		element
fluid pressure						PF	Pa	1	-1.00E+09	1.00E+09	node
capillary diffusivity					DC	m2 s-1	1	1.00E-50	1.00E+00	element
saturation oil						SO	X	1	-5.00E-02	1.05E+00	node
saturation water					SW	X	1	-5.00E-02	1.05E+00	node
saturation water analytical				SW	X	1	-5.00E-02	1.05E+00	node
residual saturation water				SWR	X	1	0.00E+00	5.00E-01	element
residual saturation oil					SNR	X	1	0.00E+00	5.00E-01	element
fluid volume source					QV	m3	1	-1.00E+00	1.00E+00	element
nodal fluid volume source				NQV	m3	1	-1.00E+00	1.00E+00	node
pore volume						PV	m s-1	1	1.00E-20	1.00E+08	element
total velocity						VT	m s-1	2	-1.00E+02	1.00E+02	element
total pore velocity					VTP	m s-1	2	-1.00E+02	1.00E+02	element
velocity oil						VN	m s-1	2	-1.00E+02	1.00E+02	element
velocity water						VW	m s-1	2	-1.00E+02	1.00E+02	element
total volume flux					F	m3 s-1	1	0.00E+00	1.00E+02	element
nodal total velocity					VT	m s-1	2	-1.00E+02	1.00E+02	node
nodal total pore velocity				VTP	m s-1	2	-1.00E+02	1.00E+02	node
nodal volume flux					F	m3 s-1	1	0.00E+00	1.00E+02	node
gravity term						GT	kg m-3	1	-1.50E+03	1.50E+03	element
gravity hydraulic term					GHT	kg m-3	1	-1.50E+03	1.50E+03	element
gravity projection element				GPE	kg m-3	1	-1.50E+03	1.50E+03	element
gravity projection face					GPF	kg m-3	1	-1.50E+03	1.50E+03	element
thickness						h	m	1	1.00E-06	1.00E+03	element
