name					MParameter	unit		index	min.		max.		place
									
fluid pressure			PF		Pa		1		0.00E+00	1.00E+05	node
stabilization parameter	SP		kg-1 m3 s	1		0.00E+00	1.00E+00	element
viscosity			MU		kg m-1 s-1	1		1.00E-06	1.00E+03	element
nodal velocity			nV		m s-1		2		-1.00E+02	1.00E+02	node
nodal velocity x		nVx		m s-1		1		-1.00E+02	1.00E+02	node
nodal velocity y		nVy		m s-1		1		-1.00E+02	1.00E+02	node
nodal velocity z		nVy		m s-1		1		-1.00E+02	1.00E+02	node
Neumann traction x		Tx		kg m s-2	1		0.00E+00	1.00E+07	node
Neumann traction y		Ty		kg m s-2	1		0.00E+00	1.00E+07	node
Neumann traction z		Ty		kg m s-2	1		0.00E+00	1.00E+07	node
Neumann traction		Ty		kg m s-2	1		-1.00E+07	1.00E+07	face
porosity			PHI		X		1	1.00E-05	1.00E+01	element
permeability			k		m2		1	1.00E-21	1.00E-07	element
zero				zo		X		1	-1.0e-30	1.0e-30	node
