name	notation	unit	index	min.	max.	place
									
fluid volume source			QV	m3	1	-1.00E+00	1.00E+00	element
nodal fluid volume source		NQV	m3	1	-1.00E+00	1.00E+00	node
fluid pressure				PF	Pa	1	-1.00E+09	1.00E+09	node
hydrostatic pressure			PH	Pa	1	-1.00E+09	1.00E+09	node
previous fluid pressure			PFP	Pa	1	-1.00E+09	1.00E+09	node
absolute fluid pressure			pf	Pa	1	1.00E+05	1.00E+09	node
total system compressibility		ct	Pa-1	1	1.00E-15	1.00E-05	element
capillary diffusivity			kap	m2 s-1	1	1.00E-50	1.00E+00	element
permeability				K	m2	1	1.00E-25	1.00E+00	element
tensor permeability			K	m2	3	1.00E-25	1.00E+00	element
porosity				PHI	X	1	1.00E-05	1.00E+00	element
velocity				VT	m s-1	2	-1.00E+02	1.00E+02	element
pore velocity				VP	m s-1	2	-1.00E+03	1.00E+03	element
volume flux				F	m s-1	1	0.00E+00	1.00E+02	element
previous volume flux			F	m s-1	1	0.00E+00	1.00E+02	element
nodal volume flux			NF	m s-1	1	0.00E+00	1.00E+03	node
relative permeability model		KRM	NA	1	0.0		5.0		element
brooks corey parameter			BC	NA	1	0.0		3.0		element
van genuchten parameter			VG	NA	1	1.0		6.0		element
entry pressure				PD	Pa	1	0.00E+00	5.00E+07	element
residual saturation wetting phase	SWR	X	1	0.00E+00	5.00E-01	element
residual saturation non-wetting phase	SNR	X	1	0.00E+00	5.00-01		element
density oil				RHOO	kg m-3	1	1.00E+02	1.80E+03	node
density gas				RHOG	kg m-3	1	1.00E+02	1.80E+03	node
density water				RHOW	kg m-3	1	5.00E+02	1.00E+03	node
gravity term				RHOR	kg m-3	1	-1.50E+03	1.50E+03	element
viscosity oil				MUO	Pa s-1	1	1.00E-05	1.00E-01	node
viscosity gas				MUO	Pa s-1	1	1.00E-05	1.00E-01	node
viscosity water				MUW	Pa s-1	1	1.00E-04	1.60E-03	node
saturation oil				SO	X	1	-5.00E-02	1.05E+00	node
saturation gas				SG	X	1	-5.00E-02	1.05E+00	node
previous saturation oil			PSO	X	1	-5.00E-02	1.05E+00	node
saturation water			SW	X	1	-5.00E-02	1.05E+00	node
initial saturation water		SWI	X	1	-5.00E-02	1.05E+00	node
relative permeability oil		KRO	X	1	0.0		1.0		element
relative permeability water		KRW	X	1	0.0		1.0		element
total mobility				LT	m2	1	1.00E-23	1.00E+00	element
pore volume				PV	m s-1	1	1.00E-20	1.00E+08	element
fracture matrix interface area		FMA	m2	1	1.00E-20	1.00E+08	element
fracture porosity			PHIF	X	1	1.00E-20	1.00E+08	element
fracture matrix flux ratio		QFQM	X	1	1.00E-20	1.00E+08	element
block radius				BR	m	1	1.00E-20	1.00E+08	element
initial water saturation		SWI	X	1	1.00E-20	1.00E+08	element
rock type				RRT	X	1	0		100		element
