name	MParameter	unit	index	min.	max.	place
mass fraction CO2 aqueous phase	XCO2	kg/kg	1	-5.00e-02	1.05e+00	NODE
mass fraction H2O aqueous phase	XH2O	kg/kg	1	-5.00e-02	1.05e+00	NODE
mass fraction CO2 carbonic phase	YCO2	kg/kg	1	-5.00e-02	1.05e+00	NODE
mass fraction H2O carbonic phase	YH2O	kg/kg	1	-5.00e-02	1.05e+00	NODE
mole fraction CO2 aqueous phase	xCO2	mol/mol	1	-5.00e-02	1.05e+00	NODE
mole fraction H2O aqueous phase	xH2O	mol/mol	1	-5.00e-02	1.05e+00	NODE
mole fraction NaCl aqueous phase	xSalt	mol/mol	1	-5.00e-02	1.05e+00	NODE
mole fraction CO2 carbonic phase	yCO2	mol/mol	1	-5.00e-02	1.05e+00	NODE
mole fraction H2O aqueous phase	yH2O	mol/mol	1	-5.00e-02	1.05e+00	NODE
dissolved CO2	CO2aq	kg/m3	1	0.00e+00	1.50e+02	NODE
evaporated water	H2Og	kg/m3	1	0.00e+00	5.00e+01	NODE
molality salt	msalt	mol/kg	1	0.00e+00	5.00e+00	NODE
compressibility carbonic phase	cCO2	1/Pa	1	1.00e-12	1.00e-04	NODE
compressibility aqueous phase	cH2O	1/Pa	1	1.00e-12	1.60e-04	NODE
density carbonic phase	rhoCO2	kg/m3	1	5.00e+01	1.00e+03	NODE
density aqueous phase	rhoH2O	kg/m3	1	5.00e+02	1.50e+03	NODE
diffusivity coefficient carbonic phase	diffCO2	m2/s	1	1.00e-11	1.00e-05	NODE
diffusivity coefficient aqueous phase	diffH2O	m2/s	1	1.00e-11	1.00e-05	NODE
density mixture	rhom	kg/m3	1	2.00e+02	1.00e+04	NODE
interfacial tension	IFT	N/m	1	0.00e+00	5.00e-02	MODEL
viscosity carbonic phase	muCO2	Pa.s	1	1.00e-05	1.00e-01	NODE
viscosity aqueous phase	muH2O	Pa.s	1	1.00e-05	1.60e-03	NODE
electric conductivity	eC	S/m	1	0.00e+00	1.00e+08	ELEMENT
heat source	Qh	W/m3	1	0.00e+00	1.00e-05	ELEMENT
thermal conductivity carbonic phase	KCO2	W/(m.K)	1	1.00e-02	1.00e+01	MODEL
thermal conductivity	Kr	W/(m.K)	1	1.00e+00	7	ELEMENT
thermal conductivity aqueous phase	KH2O	W/(m.K)	1	5.00e-01	1.00e+01	MODEL
energy source	Qe	W/m3	1	0.00e+00	1.00e-04	ELEMENT
temperature	T	oC	1	1.00e+01	4.00e+02	NODE
Biot alpha	Bio	none	1	0.00e+00	1.00e+00	ELEMENT
Biot term	BioT	X	1	0.00e+00	1.00e+08	ELEMENT
Poisson's ratio	nu	X	1	0.00e+00	1.00e+06	ELEMENT
Young's modulus	E	Pa	1	0.00e+00	1.00e+15	ELEMENT
bulk density	rhob	kg/m3	1	2.00e+02	1.00e+04	ELEMENT
cohesion	coh	Pa	1	0.00e+00	1.00e+08	ELEMENT
compressibility rock	cR	1/Pa	1	1.00e-15	1.00e-05	ELEMENT
deformed volume	Vdef	m3	1	1.00e-10	1.00e+08	ELEMENT
dilatation	dil	none	1	-1.00e+03	1.00e+03	ELEMENT
displacement	displ	m	2	-1.00e+03	1.00e+03	NODE
dry rock density	rhod	kg/m3	1	2.00e+02	1.00e+04	ELEMENT
effective stress	Se	Pa	1	-1.00e+08	1.00e+08	ELEMENT
failure	fail	binary	1	-1.00e+01	1.00e+01	ELEMENT
force	F	Pa	2	-1.00e+12	1.00e+12	NODE
friction angle	frica	deg	1	0.00e+00	9.00e+01	ELEMENT
max shear stress	SSmax	Pa	1	-1.00e+10	1.00e+10	ELEMENT
mean stress	Smean	Pa	1	-1.00e+12	1.00e+12	ELEMENT
normal stress	Sn	Pa	1	-1.00e+08	1.00e+12	FACE
overburden pressure	op	Pa	1	0.00e+00	1.00e+09	NODE
overburden stress	Sv	Pa	1	1.00e+05	1.00e+08	MODEL
shear stress	Ss	Pa	1	-1.00e+08	1.00e+08	FACE
sigma1	sig1	Pa	2	-1.00e+12	1.00e+12	ELEMENT
sigma2	sig2	Pa	2	-1.00e+12	1.00e+12	ELEMENT
sigma3	sig3	Pa	2	-1.00e+12	1.00e+12	ELEMENT
strain	e	none	3	-1.00e+03	1.00e+03	ELEMENT
strain1	e1	none	2	-1.00e+03	1.00e+03	ELEMENT
strain2	e2	none	2	-1.00e+03	1.00e+03	ELEMENT
strain3	e3	none	2	-1.00e+03	1.00e+03	ELEMENT
stress	S	Pa	3	-1.00e+12	1.00e+12	ELEMENT
stress-y	Sy	Pa	1	-1.00e+12	1.00e+12	ELEMENT
