name	MParameter	unit	index	min.	max.	place

fluid pressure				PF	Pa		1	0.00E+00	1.00E+10	node
porosity				PHI	X		1	0.00		1.00E+00	element
nodal porosity				nPHI	X		1	0.00		1.00E+00	node
permeability				K	m2		1	1.00E-25	1.00E+00	element
compressibility total			BT	Pa-1		1	0.00E+00	1.00E-03	element
compressibility rock			BR	Pa-1		1	0.00E+00	1.00E-03	element
nodal compressibility rock		nBR	Pa-1		1	0.00E+00	1.00E-10	node
fluid compressibility			BF	Pa-1		1	0.00E+00	1.00E-03	node
nodal total compressibility		nBT	Pa-1		1	0.00E+00	1.00		node
total compressibility			BT	Pa-1		1	0.00E+00	1.00		element
fluid viscosity				MUF	Pa s-1		1	1.00E-07	1.00E-02	node
fluid density				RF	kg m-3		1	0.00E+00	2.00E+3		node
density liquid				RHOl	kg m-3		1	1.00E+00	1.10E+03	node
density difference			dRho	kg m-3		1	-1.00E+3	1.00E+03	node
density liquid element			RHOe	kg m-3		1	0.00E+00	2.00E+03	element
volume factor				OPF	Pa		1	0.00E+00	1.00E+10	node
nodal fluid volume source		nQT	kg kg-1 s-1	1	-1.00E+00	1.00E+00	node
conductivity				K	m2 s-1		1	1.00E-25	1.00E+00	element
mass conductivity			rK	m2 s-1		1	0.00E+00	1.00E+00	element
gravity term				gt	kg m-3 s-1	2	-1.00E+20	1.00E+20	element integration point
mass gravity term			mgt	kg^2 m-6 s-1	2	-1.00E+20	1.00E+20	element integration point
thermal conductivity			KT	J kg-1 oC-1	1	1.00E-01	1.00E+01	element
density rock				RR	kg m-3		1	1.00E-05	1.00E+05	element
nodal density rock			nRHOR	kg m-3		1	1.00E-05	1.00E+05	node
heat capacity rock			CPR	J kg-1 oC-1	1	0.00E+00	5.00E+03	element
nodal heat capacity rock		nCPR	J kg-1 oC-1	1	1.00E-01	1.00E+04	node
fluid heat capacity			CPF	J kg-1 oC-1	1	0.00E+00	1.00E+04	node
total heat capacity			CPT	J kg-1 oC-1	1	1.00E+02	1.00E+20	element
nodal total heat capacity		nCPT	J kg-1 oC-1	1	1.00E+02	1.00E+20	node
temperature				T	oC		1	0.00E+00	1.00E+03	node
previous temperature			Tp	oC		1	0.00E+00	1.00E+03	node
nodal heat source			nQH	J kg-1 s-1	1	-1.00E+00	1.00E+00	node
velocity				V	m s-1		2	-1.00E+02	1.00E+09	element
pore velocity				PV	m s-1		2	-1.00E+02	1.00E+09	element
volume flux				VF	m3 m-2 s-1	1	0.00E+00	2.00E+03	element
enthalpy liquid				Hl	J kg-1		1	1.00E+02	1.00E+20	node
volumetric enthalpy liquid		VHl	J m-3		1	0.00E+00	2.00E+20	node
enthalpy content liquid			CHl	J m-3		1	0.00E+00	2.00E+20	node
previous enthalpy content liquid	PCHl	J m-3		1	0.00E+00	2.00E+20	node
finite volume				FV	m3		1	0.00E+00	1.00E+10	node
thickness				THI	[-/-]		1	0.00E+00	1.00E+00	element
