name	MParameter	unit	index	min.	max.	place	usage	explanation	reference
									
fluid volume source	QV	m3	1	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
fluid volume source oil	QVO	m2 s-1	1	-1.00E+01	1.00E+01	face	CSP variable	see documentation	CSP User's Guide
fluid pressure	PF	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
fluid pressure old	PFO	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
total pressure water	TPW	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
total pressure water old	TPWO	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
total pressure oil	TPO	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
total pressure oil old	TPOO	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
permeability	K	m2	1	1.00E-25	1.00E+02	element	CSP variable	see documentation	CSP User's Guide
porosity	PHI	X	1	1.00E-05	1.00E+05	element	CSP variable	see documentation	CSP User's Guide
porosity water	PHIW	X	1	1.00E-05	1.00E+05	element	CSP variable	see documentation	CSP User's Guide
negative porosity water	NPHIW	X	1	1.00E-05	1.00E+05	element	CSP variable	see documentation	CSP User's Guide
porosity oil	PHIO	X	1	1.00E-05	1.00E+05	element	CSP variable	see documentation	CSP User's Guide
negative porosity	NPHI	X	1	-1.00E+05	1.00E+05	element	CSP variable	see documentation	CSP User's Guide
entry pressure	EP	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
capillary pressure	CP	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
capillary pressure derivative	CPD	Pa	1	-1.00E+10	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
capillary pressure old	CPO	Pa	1	0.00E+00	1.00E+10	node	CSP variable	see documentation	CSP User's Guide
inner radius	IR	m	1	1.00E-30	1.00E+04	element	CSP variable	see documentation	CSP User's Guide
velocity	V	m s-1	2	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
pore velocity	VP	m s-1	2	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
nodal pore velocity	NVP	m s-1	2	-1.00E+01	1.00E+01	node	CSP variable	see documentation	CSP User's Guide
volume flux	F	m s-1	1	-1.00E+01	1.00E+01	element	CSP variable	see documentation	CSP User's Guide
brooks corey parameter	BC	X	1	1.00E+00	4.00E+00	element	CSP variable	see documentation	CSP User's Guide
nodal brooks corey parameter	NBC	X	1	1.00E+00	4.00E+00	node	CSP variable	see documentation	CSP User's Guide
residual saturation wetting phase	SWR	X	1	0.00E+00	2.50E-01	element	CSP variable	see documentation	CSP User's Guide
residual saturation non-wetting phase	SNR	X	1	0.00E+00	2.50E-01	element	CSP variable	see documentation	CSP User's Guide
nodal residual saturation wetting phase	NSWR	X	1	0.00E+00	2.50E-01	node	CSP variable	see documentation	CSP User's Guide
nodal residual saturation non-wetting phase	NSNR	X	1	0.00E+00	2.50E-01	node	CSP variable	see documentation	CSP User's Guide
viscosity oil	MUO	Pa s-1	1	1.00E-04	1.00E+01	node	CSP variable	see documentation	CSP User's Guide
viscosity water	MUW	Pa s-1	1	1.00E-04	1.00E+01	node	CSP variable	see documentation	CSP User's Guide
saturation oil	SO	X	1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
saturation oil old	SOO	X	1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
saturation water	SW	X	1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
saturation water old	SWO	X	1	0.00E+00	1.00E+00	node	CSP variable	see documentation	CSP User's Guide
relative permeability oil	KRO	X	1	0.00E-00	1.00E+00	element	CSP variable	see documentation	CSP User's Guide
relative permeability water	KRW	X	1	0.00E-00	1.00E+00	element	CSP variable	see documentation	CSP User's Guide
mobility oil	MO	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
mobility oil old	MOO	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
mobility water	MW	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
mobility water old	MWO	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
nodal total mobility	NLT	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
nodal total mobility old	NLTO	m2	1	1.00E-23	1.00E+08	node	CSP variable	see documentation	CSP User's Guide
conductivity oil	CO	m2	1	1.00E-25	1.00E+02	element	CSP variable	see documentation	CSP User's Guide
conductivity water	CW	m2	1	1.00E-25	1.00E+02	element	CSP variable	see documentation	CSP User's Guide
conductivity oil mod	COM	m2	1	1.00E-25	1.00E+02	element	CSP variable	see documentation	CSP User's Guide
conductivity water mod	CWM	m2	1	1.00E-25	1.00E+08	element	CSP variable	see documentation	CSP User's Guide
density oil		DO	kg m-3	1	1.00E+00	2.00E+03	node	CSP variable	see documentation	CSP User's Guide
density water		DW	kg m-3	1	1.00E+00	2.00E+03	node	CSP variable	see documentation	CSP User's Guide
element density oil				EDO	kg m-3	1	1.00E+00	2.00E+03	element	CSP variable	see documentation	CSP User's Guide
element density water	EDW	kg m-3	1	1.00E+00	2.00E+03	element	CSP variable	see documentation	CSP User's Guide
