name	MParameter	unit	index	min.	max.	place
									
fluid volume source	Q	m3		1	-1.00E+01	1.00E+01	element
fluid pressure		P	Pa		1	0.00E+00	1.00E+10	node
permeability		k	m2		1	1.00E-25	1.00E+02	element
storativity			S	Pa-1		1	1.00E-12	1.00E-06	element
porosity			PHI	X		1	1.00E-05	1.00E+01	element
conductivity		K	m s-1		1	1.00E-25	1.00E+02	element
inner radius		IR	m		1	1.00E-30	1.00E+04	element
velocity			VD	m s-1		2	-1.00E+01	1.00E+01	element
nodal velocity		NVD	m s-1		2	-1.00E+01	1.00E+01	node
pore velocity		V	m s-1		2	-1.00E+01	1.00E+01	element
nodal pore velocity	NV	m s-1		2	-1.00E+01	1.00E+01	node
volume flux			VF	m3 s-1	1	0.00E+00	1.00E+02	element
nodal volume flux		NVF	m3 s-1	1	0.00E+00	1.00E+02	node
