name	MParameter	unit	index	min.	max.	place
									
fluid pressure			PF	Pa		1	0.00E+00	1.00E+10	node
permeability			k	m2		1	1.00E-25	1.00E+02	element
porosity				PHI	X		1	1.00E-05	1.00E+01	element
conductivity			K	m s-1		1	1.00E-25	1.00E+02	element
resistivity				R	m s-1		1	1.00E-25	1.00E+25	element
velocity				V	m s-1		2	-1.00E+01	1.00E+01	element
nodal velocity			NV	m s-1		2	-1.00E+01	1.00E+01	node
pore velocity			V	m s-1		2	-1.00E+01	1.00E+01	element
fluid pressure gradient		DP	Pa m-1	2	-1.00E+50	1.00E+50	element
fluid volume source		QV	m3		1	-1.00E+01	1.00E+01	element
volume flux				VF	m3 s-1	1	0.00E+00	1.00E+02	element
face flux				FQ	m3 s-1	1	0.00E+00	1.00E+05	face
stream function			SF	m s-1		1	0.00E+00	1.00E+10	node
concentration			C	mol		1	0.00E+00	1.00E+01	node
