name	MParameter	unit	index	min.	max.	place	usage			
composition carbonic phase	CO2_comp	Ymass	ARRAY 2	0	1	NODE	computed			
composition aqueous phase	H2O_comp	Xmass	ARRAy 3	0	1	NODE	computed			
dissolved CO2	CO2aq	kg/m3	1	0	150	NODE	computed			
evaporated water	H2Og	kg/m3	1	0	50	NODE	computed			
salt	NaCl	kg	1	0	5	NODE	input			
salinity	NaClaq	kg/m3	1	0	40	NODE	input			
mass CO2	mCO2	kg	1	0	100000000	NODE	computed			
mass H2O	mH2O	kg	1	0	100000000	NODE	computed			
mass NaCl	mNaCl	kg	1	0	100000000	NODE	computed			
total mass	mTot	kg	1	0	100000000	NODE	computed			
mass NaClaq	mNaClaq	kg	1	0	100000000	NODE	computed			
compressibility carbonic phase	cCO2	1/Pa	1	1E-12	0.0001	NODE	computed			
compressibility aqueous phase	cH2O	1/Pa	1	1E-12	0.00016	NODE	computed			
density carbonic phase	rhoCO2	kg/m3	1	0	1000	NODE	input			
density aqueous phase	rhoH2O	kg/m3	1	500	1500	NODE	input			
interfacial tension	IFT	N/m	1	0	0.05	NODE	computed			
viscosity carbonic phase	muCO2	Pa.s	1	1E-05	0.1	NODE	input			
viscosity aqueous phase	muH2O	Pa.s	1	1E-05	0.0016	NODE	input			
electric conductivity	eC	S/m	1	0	100000000	ELEMENT	input			
thermal conductivity aqueous phase	KH2O	W/(m.K)	1	0.5	10	NODE	computed			
thermal conductivity carbonic phase	KCO2	W/(m.K)	1	0.01	10	NODE	computed			
thermal conductivity	Kr	W/(m.K)	1	1	7	ELEMENT	input			
energy source	Qe	W/m3	1	0	0.0001	ELEMENT	input			
temperature	T	oC	1	10	400	NODE	input			
compressibility rock	cR	1/Pa	1	1E-15	1E-05	ELEMENT	input			
FV total rock compressibility	fv_ctr	m3	1	1E-12	1E-05	NODE	computed			
FV total system compressibility	fv_ctm	kg	1	1E-12	1E-05	NODE	computed			
dry rock density	rhod	kg/m3	1	200	10000	ELEMENT	input			
CO2 diffusivity	diff	m2/Pa	1	1E-50	1	ELEMENT	computed			
capillary diffusivity	diffpc	m2/Pa	1	0	1	ELEMENT	computed			
entry pressure	pd	Pa	1	0	1E+020	ELEMENT	input			
face gravity term	fgt	N/m	2	-150000000	150000000	FACE	computed			
face total mobility permeability product	flt	1/(Pa.s)	2	1E-18	1	FACE	computed			
fluid pressure	pf	Pa	1	0	1000000000	NODE	computed			
reduced fluid pressure	rpf	Pa	1	-100000000	100000000	NODE	computed			
nodal fluid mass source	nQM	kg/(kg.s)	1	-100000000	100000000	NODE	computed			
fluid mass source	QM	kg/(kg.s)	1	-100000000	100000000	ELEMENT	input			
previous nodal fluid mass source	nQM0	kg/(kg.s)	1	-100000000	100000000	NODE	computed			
previous fluid mass source	QM0	kg/(kg.s)	1	-100000000	100000000	ELEMENT	computed			
gravity term	gt	N/m	2	-100000000	100000000	ELEMENT	computed			
old saturation carbonic phase	sCO2_0	m3/m3	1	0	1	NODE	computed			
change of saturation carbonic phase	dsCO2	m3/m3	1	0	1	ELEMENT	computed			
residual saturation carbonic phase	srCO2	m3/m3	1	0	0.5	ELEMENT	input			
residual saturation aqueous phase	srH2O	m3/m3	1	0	0.5	ELEMENT	input			
saturation carbonic phase	sCO2	m3/m3	1	0	1	NODE	input			
saturation aqueous phase	sH2O	m3/m3	1	0	1	NODE	input			
shock saturation aqueous phase	ssH2O	m3/m3	1	0	1	ELEMENT	computed			
mobility aqueous phase	lH2O	1/(Pa.s)	1	0	100000000	ELEMENT	computed			
mobility carbonic phase	lCO2	1/(Pa.s)	1	0	100000000	ELEMENT	computed			
total mobility permeability product	lambda_t	m2/(Pa.s)	1	1E-18	1	ELEMENT	computed			
tensor total mobility permeability product	LT	m2/(Pa.s)	3	1E-18	1	ELEMENT	computed			
total system compressibility	ct	1/Pa	1	1E-15	1E-05	ELEMENT	computed			
model time	t	s	1	0	1000000000000000	MODEL	computed			
brooks corey parameter	bcp	none	1	0	10	ELEMENT	input			
relative permeability model parameters	kri_param	none	8	-50000000	50000000	ELEMENT	input			
dip vector	dip	none	2	-1	1	ELEMENT	computed			
sector pore volume	sPV	m3	1	1E-08	1000000	SECTOR_INTEGRATION_POINT	computed			
facet area	fA	m2	1	1E-08	1000000	FACET_INTEGRATION_POINT	computed			
facet normal	fn	none	2	1	1	FACET_INTEGRATION_POINT	computed			
FV pore volume	fvPV	m3	1	0	10000000	NODE	computed			
default time increment	dt	s	1	0.001	8640000	MODEL	input			
element number		Ne	none	1	0	10000000000	ELEMENT	computed		
face dip vector	dipf	none	2	-1	1	FACE	computed			
node number	Nn	int	1	0	10000000000	NODE	computed			
output times	t_out	s	1000	0	1000000000000000	MODEL	input			
previous fluid pressure	pf0	Pa	1	-1000000000	1000000000	NODE	computed			
run duration	TMAX	s	1	0	1000000000000000	MODEL	input			
thickness	thi	m	1	1E-10	100000000	ELEMENT	input			
acceleration gravity	g	m/s2	1	9.76	9.83	MODEL	input			
tensor permeability	kk	m2	3	1E-21	1E-07	ELEMENT	input			
permeability		k	m2	1	1E-21	1E-07	ELEMENT	input		
vertical permeability	kV	m2	1	1E-21	1E-07	ELEMENT	input			
permeability calibration factor	k_cal	none	1	0	1	ELEMENT	input			
porosity	phi	none	1	1E-06	1	ELEMENT	input			
rocktype	RRT	int	1	0	100	ELEMENT	computed			
event index			EVI	none		1	0	10000000000	NODE	computed
update count			UPC	none		1	0	10000000000	NODE	computed
rate count			RAC	none		1	0	10000000000	NODE	computed
schedule count			SCC	none		1	0	10000000000	NODE	computed
synchronize count		SYC	none		1	0	10000000000	NODE	computed	
cfl multiplier		CFL	none		1	0	10000000000	NODE	computed	
heat source	Qh	W/m3	1	0	1E-05	ELEMENT	input			
nodal system state	nPHS	none	1	0	7	NODE	input			
element system state	ePHS	none	1	0	7	ELEMENT	computed			
bulk mass and fractions	Xbulk	none	ARRAY 4	0	100000000	NODE	computed			
end of injection	eoi	secs	1	86400	31536000000	MODEL	input			
total velocity		vt	kg/s	2	-100000000	100000000	ELEMENT	computed	
mixture density		rhom	kg/m3	1	2.00E+02	1.00E+04	NODE	computed	
local pressure solving count	LPC	none	1	0	10000000000	NODE	computed			
non-wetting phase timing array	NTA	none	ARRAY 7	-10000000000	10000000000	NODE	computed			
previous drainage endpoint	SwDrToImb	m3/m3	SCALAR	-0.05	1.05	NODE	computed			
previous imbibition endpoint	SwImbToDr	m3/m3	1	-0.05	1.05	NODE	computed			
pseudo residual saturation carbonic phase	psrCO2	m3/m3	1	0	0.5	ELEMENT	computed/input			
pseudo residual saturation aqueous phase	psrH2O	m3/m3	1	0	0.5	ELEMENT	computed/input			
nodal fluid volume source	nQV	m3/(m3.s)	1	-100000000	100000000	NODE	input			
fluid volume source	QV	m3/(m3.s)	1	-100000000	100000000	ELEMENT	input	
velocity		VD	m s-1		2	-1.00E+01	1.00E+01	element	computed
pore velocity		VP	m s-1	2	-1.00E+03	1.00E+03	element	computed
volume flux		F	m s-1	1	0.00E+00	1.00E+02	element	computed
nodal velocity		NVD	m s-1		2	-1.00E+01	1.00E+01	node	computed
nodal pore velocity	NV	m s-1		2	-1.00E+01	1.00E+01	node	computed
nodal volume flux	NVF	m3 s-1		1	0.00E+00	1.00E+01	node	computed		
