  PID TTY           TIME CMD
    1 ??        15:06.97 /sbin/launchd
   48 ??         0:53.51 /usr/libexec/UserEventAgent (System)
   50 ??         0:40.65 /usr/libexec/kextd
   51 ??         1:40.90 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   55 ??         0:01.31 /System/Library/CoreServices/appleeventsd --server
   56 ??         0:38.59 /usr/libexec/configd
   57 ??         0:12.27 /System/Library/CoreServices/powerd.bundle/powerd
   64 ??         3:19.56 /usr/libexec/airportd
   66 ??         0:01.16 /usr/libexec/warmd
   67 ??         7:41.95 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   71 ??         0:00.78 /System/Library/CoreServices/iconservicesd
   72 ??         0:00.27 /System/Library/CoreServices/iconservicesagent
   73 ??         0:09.46 /usr/libexec/diskarbitrationd
   75 ??         0:37.35 /usr/libexec/coreduetd
   76 ??        78:43.54 /Library/Audio/Plug-Ins/HAL/Apogee/DuetUSB/DuetUSBPlugIn.bundle/Contents/MacOS/duetUSBDaemon
   77 ??         0:00.02 /usr/libexec/wdhelper
   79 ??         0:22.48 /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmfs --tcp --resvport --listen localhost --oneshot --noportmap --nobrowse
   80 ??         0:48.37 /usr/libexec/opendirectoryd
   81 ??         0:02.01 /usr/sbin/wirelessproxd
   83 ??         0:25.29 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   84 ??         0:47.61 /System/Library/CoreServices/launchservicesd
   85 ??         0:32.70 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   86 ??         0:29.05 /usr/sbin/securityd -i
   88 ??         1:05.86 /usr/libexec/locationd
   90 ??         0:01.77 /usr/libexec/displaypolicyd
   91 ??         0:11.70 /usr/sbin/blued
   92 ??         0:00.11 autofsd
   96 ??         0:34.87 /usr/sbin/mDNSResponder
   98 ??         0:02.07 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   99 ??         1:10.27 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  100 ??         0:00.15 /System/Library/CoreServices/logind
  101 ??         0:00.12 /usr/sbin/KernelEventAgent
  103 ??         5:39.05 /usr/libexec/hidd
  104 ??         0:02.11 /usr/libexec/AirPlayXPCHelper
  105 ??         0:34.89 /usr/sbin/notifyd
  108 ??         0:14.54 /usr/sbin/distnoted daemon
  135 ??         0:03.09 /usr/libexec/diagnosticd
  137 ??         0:10.97 /usr/libexec/sandboxd
  138 ??         0:39.94 /usr/sbin/cfprefsd daemon
  140 ??         0:01.93 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  144 ??         0:06.66 /System/Library/CoreServices/coreservicesd
  149 ??         0:00.08 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  153 ??         0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  172 ??         0:00.90 /usr/libexec/taskgated -s
  175 ??         0:02.11 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  176 ??         0:01.55 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  177 ??        50:20.53 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  179 ??         0:23.10 /usr/libexec/networkd
  180 ??         0:00.62 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  181 ??         0:00.20 /usr/libexec/networkd_privileged
  182 ??         0:06.36 /usr/libexec/lsd runAsRoot
  183 ??         0:03.06 /usr/libexec/findmydeviced
  184 ??         8:25.47 /usr/sbin/coreaudiod
  185 ??         5:47.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  186 ??         0:00.13 /usr/libexec/smd
  187 ??         0:00.13 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  188 ??         0:00.94 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  193 ??         1:32.32 /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmd
  194 ??         0:08.81 /usr/libexec/nsurlsessiond --privileged
  195 ??         0:01.20 /usr/libexec/nehelper
  196 ??         0:13.05 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
  197 ??         0:00.60 /usr/libexec/corestoraged
  198 ??         0:00.55 /usr/sbin/cupsd -l
  199 ??         0:03.85 /usr/libexec/usbd
  200 ??         0:01.58 /usr/libexec/thermald
  201 ??         0:00.08 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  202 ??         0:02.05 /usr/libexec/diskmanagementd
  211 ??         0:00.99 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  212 ??         0:10.38 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  220 ??         0:00.29 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  235 ??         0:36.40 /usr/libexec/symptomsd
  237 ??         0:00.14 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  240 ??         1:20.88 /usr/libexec/securityd_service
  241 ??         0:17.00 /usr/libexec/UserEventAgent (Aqua)
  243 ??         0:47.89 /usr/sbin/distnoted agent
  245 ??         0:27.69 /usr/sbin/cfprefsd agent
  246 ??         0:19.14 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  247 ??         0:05.35 /usr/libexec/lsd
  250 ??         0:04.52 /System/Library/CoreServices/sharedfilelistd
  251 ??         0:04.03 /usr/sbin/WirelessRadioManagerd
  252 ??         0:08.10 /usr/sbin/usernoted
  253 ??         0:23.52 /Library/Application Support/Apogee/ApogeePopup.bundle/Contents/ApogeePopup.app/Contents/MacOS/ApogeePopup
  254 ??         3:21.50 /usr/libexec/nsurlsessiond
  255 ??         0:03.30 /usr/libexec/amfid
  256 ??         1:24.15 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
