variable name,notation,units,type,minval,maxval,placement,usage,explanation,reference,notes
composition carbonic phase,CO2_comp,Ymass,ARRAY,-0.05,-0.05,NODE,computed,chemistry,array size=2,
composition aqueous phase,H2O_comp,Xmass,ARRAY,-0.05,-0.05,NODE,computed,chemistry,array size=3,
dissolved CO2,CO2aq,kg/m3,SCALAR,0,150,NODE,computed/input,output,only used for visualisation,
evaporated water,H2Og,kg/m3,SCALAR,0,5,NODE,computed,output,only used for visualisation,
salt,NaCl,kg,SCALAR,0,5,NODE,computed/input,chemistry,precipitate to be converted into volume,
salinity,NaClaq,kg/m3,SCALAR,0,40,NODE,computed,output,only used for visualisation,
compressibility carbonic phase,cCO2,1/Pa,SCALAR,1E-12,0.0001,NODE,computed,fluid properties,REMOVE - compute on the fly,
compressibility aqueous phase,cH2O,1/Pa,SCALAR,1E-12,1E-09,NODE,computed,fluid properties,REMOVE - compute on the fly,
density carbonic phase,rhoCO2,kg/m3,SCALAR,2,1000,NODE,computed,fluid properties,for pressure and saturation equation,
density aqueous phase,rhoH2O,kg/m3,SCALAR,500,1500,NODE,computed,fluid properties,for pressure and saturation equation,
mixture density,rhom,kg/m3,SCALAR,500,1500,NODE,computed,fluid properties,REMOVE - compute on the fly,
interfacial tension,IFT,N/m,SCALAR,0,0.05,NODE,computed,fluid properties,compute as PT dependent property,
viscosity carbonic phase,muCO2,Pa.s,SCALAR,1E-05,0.001,NODE,calculated,fluid properties,used in mobility calculation,
viscosity aqueous phase,muH2O,Pa.s,SCALAR,1E-05,0.0016,NODE,calculated,fluid properties,used in mobility calculation,
electric conductivity,eC,S/m,SCALAR,0,100000000,ELEMENT,computed,geophysics,from Andre's new formulation taking rock composition into account,
thermal conductivity aqueous phase,KH2O,W/(m.K),SCALAR,0.5,10,NODE,calculated,heat flow,used in temperature initialisation,
thermal conductivity carbonic phase,KCO2,W/(m.K),SCALAR,0.01,5,NODE,calculated,heat transfer,REMOVE - compute on the fly,
thermal conductivity,Kr,W/(m.K),SCALAR,1,7,ELEMENT,from-rocktype,heat transfer,used in temperature initialisation,
energy source,Qe,W/m3,SCALAR,-100000,100000,ELEMENT,input,heat transfer,radiogenic or fluid thermodynamics-related source/sink term,
temperature,T,oC,SCALAR,10,120,NODE,computed primary variable,heat transfer,needed for initialisation of fluid properties,
Biot alpha,Bio,none,SCALAR,0,1,ELEMENT,from-rocktype,mechanics,Biot coefficient for fluid pressure stress coupling,
Biot term,BioT,Pa,SCALAR,0,100000000,ELEMENT,calculated,mechanics,REMOVE - compute on the fly,
Poissons ratio,nu,X,SCALAR,0.1,0.47,ELEMENT,from-rocktype,mechanics,lateral expansion caused by shortening of sample,
Youngs modulus,E,Pa,SCALAR,5000,1000000000000000,ELEMENT,from-rocktype,mechanics,elastic spring constant in 3D,
bulk density,rhob,kg/m3,SCALAR,200,4000,ELEMENT,calculated,mechanics,fluid saturated density of rock,
cohesion,coh,Pa,SCALAR,0,100000000,ELEMENT,from-rocktype,mechanics,Y-axis intercept on normal stress - shear stress graph,
compressibility rock,cR,1/Pa,SCALAR,1E-12,1E-08,ELEMENT,from-rocktype,mechanics,same as bulk modulus,
dilatation,dil,none,SCALAR,-10,10,ELEMENT,computed,mechanics,new volume over old volume of element,
displacement,displ,m,VECTOR,-1000,1000,NODE,computed primary variable,mechanics,used in displacement-based formulation,
dry rock density,rhod,kg/m3,SCALAR,200,3000,ELEMENT,input,mechanics,density of air-filled porous medium,
effective stress,Se,Pa,SCALAR,-100000000,100000000,REGION,from-rocktype,mechanics,least principal stress minus pore pressure,
failure,fail,binary,SCALAR,-10,0,ELEMENT_INTEGRATION_POINT,calculated,mechanics,placed at IP not to miss critically stressed elements,
force,F,kgm/s2,VECTOR,-10000000000,10000000000,NODE,computed,mechanics,used in the application of body forces and point loads,
friction angle,frica,deg,SCALAR,0,40,ELEMENT,from-rocktype,mechanics,given in degrees not radians,
max shear stress,SSmax,Pa,SCALAR,-100000000,100000000,ELEMENT,computed,mechanics,deviatoric stress acting in a particular element,
mean stress,Smean,Pa,SCALAR,-100000000,100000000,ELEMENT,computed,mechanics,average of eigenvalues of stress tensor,
normal stress,Sn,Pa,SCALAR,-100000000,10000000000,FACE,calculated,mechanics,for application of stresses to boundaries,
overburden pressure,op,Pa,SCALAR,0,1000000000,NODE,computed,mechanics,one dimensional calculation of stress state,
overburden stress,Sv,Pa,SCALAR,100000,100000000,MODEL,input,mechanics,to assign burial stress to top model boundary if it is flat,
shear stress,Ss,Pa,VECTOR,-100000000,100000000,FACE,computed,mechanics,to assign tractions on model boundaries,
sigma1,sig1,Pa,VECTOR,-100000000,100000000,ELEMENT,output,mechanics,maximum principal stress equal to eigenvalue 1 of stress tensor,
sigma2,sig2,Pa,VECTOR,-100000000,100000000,ELEMENT,output,mechanics,intermediate principal stress equal to eigenvalue 2 of stress tensor,
sigma3,sig3,Pa,VECTOR,-100000000,100000000,ELEMENT,output ,mechanics,minimum principal stress equal to eigenvalue 3 of stress tensor,
strain,e,none,TENSOR,-1000,1000,ELEMENT,computed,mechanics,full tensor for graphical display,
stress,S,Pa,TENSOR,-100000000,100000000,ELEMENT,output,mechanics,full tensor for graphical display,
stress-y,Sy,Pa,SCALAR,-100000000,100000000,ELEMENT,output,mechanics,vertical stress for visualisation and comparison with overburden stress,
volume change,dV,m3,SCALAR,0,1000,ELEMENT,computed,mechanics,change of element volume by deformation,
vertical permeability,kV,m2,SCALAR,1E-21,1E-07,ELEMENT,from tensor,multiphase flow,for the computation of buoyancy driven flow,
capillary diffusivity,diffpc,m2/Pa,SCALAR,1E-50,1E-08,ELEMENT,computed,multiphase flow,nonlinear term taking into account capillary pressure derivative,
entry pressure,pd,Pa,SCALAR,0,50000000,ELEMENT,input,multiphase flow,capillary entry pressure for drainage in Brooks-Corey model,
face gravity term,fgt,N/m,VECTOR,-150000000,150000000,FACE,calculaled,multiphase flow,REMOVE - compute on the fly with a PDE operator,
face total mobility,flt,1/(Pa.s),SCALAR,1E-20,1E-05,FACE,calculated,multiphase flow,term used in PDE solves on model boundaries,
fluid pressure,pf,Pa,SCALAR,100000,300000000,NODE,computed primary variable,multiphase flow,governing equations,
mixture viscosity,mum,Pa.s,SCALAR,1E-06,0.001,NODE,computed,multiphase flow,REMOVE - compute on the fly with a PDE operator,
nodal fluid volume source,nQV,m3/(m3.s),SCALAR,-1,1,NODE,input,multiphase flow,for the assignment of point sources,
fluid volume source,QV,m3/(m3.s),SCALAR,-1,1,ELEMENT,input,multiphase flow,to deal with volume changes in the fluid or compaction,
flux balance,fb,m3,SCALAR,-100000000,100000000,NODE,computed,multiphase flow,incoming minus outgoing fluxes in a finite-volume cell,
gravity term,gt,N/m,VECTOR,-100000000,100000000,ELEMENT,calculated,multiphase flow,REMOVE - compute on the fly with a PDE operator,
new saturation carbonic phase,sCO2_1,m3/m3,SCALAR,-0.05,1.05,NODE,computed,multiphase flow,saturation at next time level,
residual saturation carbonic phase,srCO2,m3/m3,SCALAR,0,0.5,ELEMENT,input,multiphase flow,ACTION - will need to be computed from max saturation reached,
residual saturation aqueous phase,srH2O,m3/m3,SCALAR,0,0.5,ELEMENT,input,multiphase flow,connate water saturation = irreducible water saturation,
saturation carbonic phase,sCO2,m3/m3,SCALAR,-0.05,1.05,NODE,computed primary variable,multiphase flow, main variable in CO2 transport,
saturation aqueous phase,sH2O,m3/m3,SCALAR,-0.05,1.05,NODE,computed/input,multiphase flow,water saturation,
total dissolved solids,TDS,kg/m3,SCALAR,0,300,NODE,computed/input,multiphase flow,to account for any solids not handled by equation of state,
mobility aqueous phase,lH2O,1/(Pa.s),SCALAR,1E-18,0.0001,ELEMENT,calculated,multiphase flow,relative permeability divided by viscosity,
mobility carbonic phase,lCO2,1/(Pa.s),SCALAR,1E-18,0.0001,ELEMENT,calculated,multiphase flow,relative permeability divided by viscosity,
total mobility permeability product,lambda_t,m2/(Pa.s),SCALAR,1E-18,0.0001,ELEMENT,calculated,multiphase flow,sum of mobilities multiplied with permeability,
tensor total mobility permeability product,LT,m2/(Pa.s),TENSOR,1E-18,0.0011,ELEMENT,calculated,multiphase flow,sum of mobilities multiplied with permeability,
total system compressibility,ct,1/Pa,SCALAR,1E-13,1E-05,ELEMENT,calculated,multiphase flow,porosity weighted average of fluid and rock compressibilities,
total velocity,vt,m/s,VECTOR,0,10,ELEMENT,calculated,multiphase flow,Darcy velocity of fluid mixture,
volume flux,qf,m3/s,SCALAR,0,10,ELEMENT,computed,multiphase flow,volumetric flow rate,
model time,t,s,SCALAR,0,10000000000,MODEL,computed,multiphase flow,geologic time evolved in a simulation,
brooks corey parameter,bcp,none,SCALAR,0,6,ELEMENT,input ,multiphase flow,lambda parameter from BC model scaling with the heterogeneity,
gravity force,Fg,kgm/s2,VECTOR,-10000000000,10000000000,ELEMENT,calculated,multiphase flow,body force due to the action of gravity,
previous drainage endpoint,SwDrToImb,m3/m3,SCALAR,-0.05,1.05,NODE,computed,multiphase flow,extra data needed by hysteretic relperm model,
previous imbibition endpoint,SwImbToDr,m3/m3,SCALAR,-0.05,1.05,NODE,computed,multiphase flow,extra data needed by hysteretic relperm model,
pseudo residual saturation carbonic phase,psrCO2,m3/m3,SCALAR,0,0.5,ELEMENT,computed/input,multiphase flow,extra data needed by hysteretic relperm model,
pseudo residual saturation aqueous phase,psrH2O,m3/m3,SCALAR,0,0.5,ELEMENT,computed/input,multiphase flow,extra data needed by hysteretic relperm model,
relative permeability model parameters,kri_param,none,ARRAY,-1000,1000,ELEMENT,input,multiphase flow,extra 6 parameters needed by hysteretic relperm model,
dip vector,dip,none,VECTOR,-1,1,ELEMENT,computed,numeric modelling,for the projection of the gravity force acting on lower-dimensional elements,
sector pore volume,sPV,m3,SCALAR,1E-08,1000000,SECTOR_INTEGRATION_POINT,computed,numeric modelling,as computed with the finite volume method,
facet area,fA,m2,SCALAR,1E-08,1000000,FACET_INTEGRATION_POINT,computed,numeric modelling,of the outer surface segment of a finite volume,
facet normal,fn,none,VECTOR,1,1,FACET_INTEGRATION_POINT,computed,numeric modelling,normal to facet,
facet total flux,qft,m3/s,SCALAR,0,100000,FACET_INTEGRATION_POINT,computed,numeric modelling,integrated volumetric flux going across facet,
facet flux carbonic phase,qfCO2,m3/s,SCALAR,0,100000,FACET_INTEGRATION_POINT,computed,numeric modelling,integrated flux of the carbonic phase,
FV pore volume,fvPV,m3,SCALAR,0,10000000,NODE,calculated,numeric modelling,pore volume integrated over finite volume sectors,
default time increment,dt,s,SCALAR,0.001,8640000,MODEL,input,numeric modelling,model-wide parameter used in time-driven simulation of pressure,
element number,Ne,none,SCALAR,0,10000000000,ELEMENT,calculated,numeric modelling,for coupling with escript simulator for geophysical inverse modelling,
face dip vector,dipf,none,VECTOR,-1,1,FACE,calculated,numeric modelling,for projection of gravity forces acting on boundary Face objects,
node number,Nn,int,SCALAR,0,10000000000,NODE,calculated,numeric modelling,for coupling with escript simulator for geophysical inverse modelling,
output times,t_out,s,ARRAY,0,10000000000,MODEL,input ,numeric modelling,global array that stores when model results shall be output to file,
previous fluid pressure,pf0,Pa,SCALAR,-1000000000,1000000000,NODE,computed,numeric modelling,for the computation of the local rate of change of fluid pressure,
previous fluid volume source,QV0,m3(m3.s),SCALAR,-1,1,ELEMENT,computed,numeric modelling,to track the spatio-temporal evolution of fluid source terms,
previous nodal fluid volume source,nQV0,m3(m3.s),SCALAR,-1,1,NODE,computed,numeric modelling,to track the spatio-temporal evolution of point sources,
run duration,TMAX,s,SCALAR,0,10000000000,MODEL,input,numeric modelling,geologic time that shall be computed in run,
thickness,thi,m,SCALAR,1E-06,100,ELEMENT,input,numeric modelling,width and cross-sectional area attribute for lower dimensional surface and line elements,
volume,V,m3,SCALAR,1E-10,100000000,ELEMENT,computed,numeric modelling,of individual elements computed under consideration of the thickness attribute,
acceleration gravity,g,m/s2,SCALAR,9.76,9.83,MODEL,input,physical constants,site-specific value of the gravitational constant,
fault breccia permeability,kFbr,m2,SCALAR,1E-21,1E-07,ELEMENT,calculated,property modelling,permeability of fault rock computed assuming that it is a breccia,
fault size,Fs,m,SCALAR,10,100000,REGION,calculated,property modelling,maximum diameter of fault,
fracture permeability,kf,m2,SCALAR,1E-21,1E-05,ELEMENT,calculated,property modelling,excess permeability due to the presence of fractures,
tensor permeability,kk,m2,TENSOR,1E-21,1E-07,ELEMENT,from geomodel,property modelling,full tensor value from property modelling,
permeability,k,m2,SCALAR,1E-21,1E-07,ELEMENT,from geomodel,property modelling,scalar value from property modelling,
permeability calibration factor,k_cal,none,SCALAR,0,1000,ELEMENT,computed,property modelling,parameter used in automatic history matching,
porosity,phi,none,SCALAR,1E-06,1,ELEMENT,from geomodel,property modelling,independent input parameter which may however change due to salt precipitation,
rocktype,RRT,int,SCALAR,0,500,ELEMENT,calculated,property modelling,important identifier of RRT used in CSMP internal property modelling,
slip patch area,AS,m2,SCALAR,10,100000000,REGION,computed,property modelling,area of fault surface used in fault permeability calculations,
