variable name,notation,units,type,minval,maxval,placement,usage,explanation,reference,notes
facet normal,fn,m2 s-1,VECTOR,0.,1.,FACET_INTEGRATION_POINT,,single phase flow,,
facet area,fA,m2 s-1,SCALAR,-1e+10,+1e+10,FACET_INTEGRATION_POINT,,single phase flow,,
facet flux,ff,m2 s-1,SCALAR,-1e+10,+1e+10,FACET_INTEGRATION_POINT,,single phase flow,,
facet flux concentration,ffC,m2 s-1,SCALAR,-1e+10,+1e+10,FACET_INTEGRATION_POINT,,single phase flow,,
FV pore volume,FVPV,m s-1,SCALAR,0,1e+10,NODE,,single phase flow,,
flux balance,FB,m3 s-1,SCALAR,-1.e+10,1.000E+10,NODE,,single phase flow,,
sector pore volume,sPV,m3,1,1E-08,1000000,SECTOR_INTEGRATION_POINT,,single phase flow,,
sector volume,sV,m3,1,1E-08,1000000,SECTOR_INTEGRATION_POINT,,single phase flow,,
nodal fluid volume source,NQV,m3,SCALAR,-1.00E+01,1.00E+01,NODE,,single phase flow,,
fluid pressure,PF,Pa,SCALAR,0.00E+00,1.00E+10,NODE,,single phase flow,,
permeability,k,m2,TENSOR,1.00E-25,1.00E+02,ELEMENT,,single phase flow,,
tensor permeability,kk,m2,3,1.00E-25,1.00E+02ELEMENT,,single phase flow,,
facet area permeability,fAk,m4,VECTOR,-1e+10,1e+10,FACET_INTEGRATION_POINT,,single phase flow,,
porosity,PHI,X,SCALAR,1.00E-05,1.00E+01,ELEMENT,,single phase flow,,
thickness,THI,m,SCALAR,0.0E+0,1.00E+10,ELEMENT,,single phase flow,,
velocity,V,m s-1,VECTOR,-1.00E+02,1.00E+02,ELEMENT,,single phase flow,,
fluid viscosity,MU,Pa s,SCALAR,1.00E-05,1.00E+10,MODEL,,single phase flow,,
fluid density,RHO,kg m-3,SCALAR,0.00E-10,1.00E+04,MODEL,,single phase flow,,
previous concentration,C,kg m-3,SCALAR,-5.00E-01,1.00E+03,NODE,,single phase flow,,
concentration,C0,kg m-3,SCALAR,-5.00E-01,1.00E+03,NODE,,single phase flow,,
new concentration,C1,kg m-3,SCALAR,-5.00E-01,1.00E+03,NODE,,single phase flow,,
conductivity,K,m s-1,TENSOR,1.00E-25,1.00E+02,ELEMENT,,single phase flow,,
tensor conductivity,KK,m s-1,TENSOR,1.00E-25,1.00E+02,ELEMENT,,single phase flow,,
diffusivity,D,m2 s-1,SCALAR,1.00E-50,1.00E+00,ELEMENT,,single phase flow,,
accumulation,ACC,kg m-3,SCALAR,0.,1.00e+7,NODE,,generic finite volume scheme,,
outflow,QO,m3,SCALAR,0.,1.0e+10,NODE,,generic finite volume scheme,,
